Train_ID,Source,Destination,Date,Time,Day,Month,Holiday,Passengers,Capacity,Platform
12000,Kolkata,Hyderabad,2024-01-13,23:30,13,1,0,450,800,2
12001,Kolkata,Pune,2024-10-06,02:45,6,10,0,232,800,4
12002,Delhi,Kolkata,2024-11-04,00:15,4,11,1,933,1200,4
12003,Chennai,Kolkata,2024-05-22,00:15,22,5,0,914,1000,5
12004,Delhi,Mumbai,2024-06-21,03:00,21,6,0,589,800,6
12005,Bangalore,Mumbai,2024-01-23,23:45,23,1,1,749,800,2
12006,Bangalore,Mumbai,2024-11-17,19:30,17,11,0,791,800,1
12007,Kolkata,Delhi,2024-05-28,02:15,28,5,1,1087,800,5
12008,Chennai,Pune,2024-07-05,05:30,5,7,0,563,800,2
12009,Bangalore,Pune,2024-03-28,17:15,28,3,1,367,1000,5
12010,Kolkata,Pune,2024-10-12,07:30,12,10,0,1063,800,1
12011,Pune,Mumbai,2024-07-24,08:00,24,7,0,416,1200,4
12012,Kolkata,Chennai,2024-07-21,20:45,21,7,0,346,1000,4
12013,Kolkata,Bangalore,2024-10-02,08:45,2,10,1,1119,1200,6
12014,Delhi,Mumbai,2024-09-17,15:00,17,9,0,973,800,3
12015,Kolkata,Delhi,2024-12-14,13:00,14,12,1,594,1000,9
12016,Mumbai,Kolkata,2024-01-06,21:00,6,1,0,898,1200,6
12017,Hyderabad,Chennai,2024-08-10,05:45,10,8,0,203,1200,9
12018,Pune,Delhi,2024-09-16,03:30,16,9,0,1061,1200,3
12019,Mumbai,Delhi,2024-10-03,16:00,3,10,1,813,1000,1
12020,Hyderabad,Chennai,2024-06-06,07:00,6,6,0,446,1200,2
12021,Kolkata,Chennai,2024-02-05,17:15,5,2,1,331,1200,9
12022,Delhi,Chennai,2024-09-27,19:45,27,9,0,1187,800,5
12023,Chennai,Pune,2024-11-28,11:45,28,11,1,1121,1200,2
12024,Delhi,Mumbai,2024-02-02,10:00,2,2,0,802,1200,10
12025,Delhi,Hyderabad,2024-02-06,22:00,6,2,0,434,800,6
12026,Hyderabad,Kolkata,2024-05-01,08:45,1,5,0,419,1200,10
12027,Bangalore,Chennai,2024-05-04,15:45,4,5,0,394,800,7
12028,Mumbai,Bangalore,2024-07-29,14:00,29,7,0,889,1200,1
12029,Chennai,Pune,2024-06-22,03:15,22,6,1,396,800,3
12030,Chennai,Delhi,2024-05-22,14:15,22,5,1,1095,800,9
12031,Hyderabad,Delhi,2024-11-29,17:00,29,11,0,1192,800,3
12032,Chennai,Bangalore,2024-09-03,06:45,3,9,0,1124,800,7
12033,Hyderabad,Bangalore,2024-05-15,14:30,15,5,1,633,1200,3
12034,Delhi,Chennai,2024-04-21,01:00,21,4,0,965,1000,1
12035,Bangalore,Chennai,2024-09-14,16:15,14,9,0,258,1200,3
12036,Hyderabad,Kolkata,2024-02-04,21:15,4,2,0,613,800,10
12037,Bangalore,Hyderabad,2024-11-13,02:45,13,11,0,873,1200,5
12038,Delhi,Pune,2024-06-09,07:30,9,6,0,605,800,8
12039,Mumbai,Hyderabad,2024-01-05,14:00,5,1,0,275,1200,9
12040,Mumbai,Delhi,2024-06-27,02:15,27,6,0,578,1000,8
12041,Pune,Bangalore,2024-12-26,09:00,26,12,0,883,1200,2
12042,Delhi,Chennai,2024-02-29,03:15,29,2,0,478,1000,6
12043,Delhi,Pune,2024-11-20,08:45,20,11,0,457,800,7
12044,Pune,Mumbai,2024-01-23,00:30,23,1,0,989,800,3
12045,Kolkata,Chennai,2024-10-09,22:45,9,10,0,774,800,2
12046,Kolkata,Delhi,2024-10-06,01:30,6,10,0,796,1200,7
12047,Delhi,Hyderabad,2024-06-06,11:00,6,6,0,1120,1000,4
12048,Kolkata,Hyderabad,2024-06-30,17:45,30,6,0,1197,1200,4
12049,Pune,Delhi,2024-03-31,13:00,31,3,0,383,1200,7
12050,Pune,Kolkata,2024-05-07,08:15,7,5,0,1006,1200,7
12051,Pune,Hyderabad,2024-08-28,07:15,28,8,0,1036,1000,5
12052,Pune,Delhi,2024-04-24,00:15,24,4,0,608,1000,2
12053,Pune,Mumbai,2024-06-28,20:45,28,6,0,895,1200,1
12054,Hyderabad,Chennai,2024-04-01,18:30,1,4,1,239,800,6
12055,Kolkata,Mumbai,2024-08-11,19:00,11,8,0,594,1200,5
12056,Hyderabad,Pune,2024-08-11,00:15,11,8,0,572,1000,6
12057,Bangalore,Mumbai,2024-12-05,03:30,5,12,1,719,1000,6
12058,Chennai,Pune,2024-05-31,17:15,31,5,1,396,1000,3
12059,Bangalore,Kolkata,2024-06-03,12:00,3,6,0,511,1000,7
12060,Pune,Bangalore,2024-11-06,20:30,6,11,1,676,1000,4
12061,Bangalore,Chennai,2024-03-27,21:00,27,3,0,490,1200,2
12062,Pune,Delhi,2024-12-10,09:15,10,12,0,1025,800,1
12063,Hyderabad,Mumbai,2024-08-31,19:00,31,8,0,666,1000,7
12064,Chennai,Bangalore,2024-05-04,04:00,4,5,1,1114,800,4
12065,Delhi,Pune,2024-09-22,14:00,22,9,0,770,800,8
12066,Delhi,Bangalore,2024-12-07,16:30,7,12,1,1172,1000,9
12067,Chennai,Delhi,2024-08-31,14:30,31,8,0,969,800,9
12068,Chennai,Pune,2024-05-02,08:45,2,5,0,279,1200,4
12069,Mumbai,Chennai,2024-06-12,17:00,12,6,0,341,800,7
12070,Kolkata,Delhi,2024-12-27,06:00,27,12,0,624,1000,9
12071,Chennai,Bangalore,2024-02-01,06:45,1,2,0,598,1200,10
12072,Chennai,Bangalore,2024-01-04,11:30,4,1,1,971,1000,9
12073,Kolkata,Pune,2024-10-06,19:15,6,10,0,699,800,7
12074,Chennai,Hyderabad,2024-07-18,10:45,18,7,1,941,800,3
12075,Bangalore,Kolkata,2024-01-14,12:00,14,1,1,285,1200,3
12076,Pune,Chennai,2024-04-03,01:30,3,4,0,588,1000,8
12077,Mumbai,Chennai,2024-07-13,08:45,13,7,1,458,800,1
12078,Kolkata,Bangalore,2024-01-27,11:15,27,1,0,865,800,1
12079,Delhi,Mumbai,2024-01-11,19:15,11,1,1,444,800,2
